time,servo_deg,door_deg,torque,speed,direction,calibrated,detecting
1783691029.457608,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.507696,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.5575595,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.607564,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.657615,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.7075338,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.757567,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.8074672,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.8575068,-2.00110784,-0.75041544,74.91159226672728,40.0,-1,0,0
1783691029.9074972,-4.0001092400000005,-1.5000409650000002,78.65971989172728,40.0,-1,0,0
1783691029.9574466,-5.9993872,-2.2497702,100.48167321334546,40.0,-1,0,0
1783691030.0074642,-7.99923508,-2.9997131550000002,101.23161616834545,40.0,-1,0,0
1783691030.0575511,-10.00034852,-3.7501306949999997,101.98203370834545,40.0,-1,0,0
1783691030.1079705,-12.01255016,-4.5047063099999995,102.73660932334545,40.0,-1,0,0
1783691030.1575332,-13.999899,-5.249962125,103.48186513834546,40.0,-1,0,0
1783691030.2074714,-16.001294599999998,-6.000485475,104.23238848834545,40.0,-1,0,0
1783691030.2578032,-18.008026159999996,-6.753009809999998,104.98491282334545,40.0,-1,0,0
1783691030.307438,-19.999233119999996,-7.499712419999998,105.73161543334545,40.0,-1,0,0
1783691030.3575203,-21.999798999999996,-8.249924624999998,106.48182763834545,40.0,-1,0,0
1783691030.4074752,-24.000040799999997,-9.0000153,107.23191831334546,40.0,-1,0,0
1783691030.4574497,-25.99919584,-9.74969844,107.98160145334546,40.0,-1,0,0
1783691030.507472,-27.99995168,-10.49998188,108.73188489334545,40.0,-1,0,0
1783691030.5578177,-30.0052724,-11.25197715,109.48388016334546,40.0,-1,0,0
1783691030.6073718,-31.998158399999998,-11.9993094,110.23121241334546,40.0,-1,0,0
1783691030.6575508,-34.001445319999995,-12.750541994999999,110.98244500834545,40.0,-1,0,0
1783691030.7076352,-36.003475079999994,-13.501303154999999,111.73320616834545,40.0,-1,0,0
1783691030.7580516,-38.01257851999999,-14.254716944999997,112.48661995834546,40.0,-1,0,0
1783691030.8074834,-39.99861151999999,-14.999479319999995,113.23138233334545,40.0,-1,0,0
1783691030.8577192,-42.00493519999999,-15.751850699999997,113.98375371334545,40.0,-1,0,0
1783691030.9073985,-43.998860439999994,-16.499572665,114.73147567834545,40.0,-1,0,0
1783691030.9575484,-41.996632319999996,-15.748737119999998,113.98064013334545,40.0,1,0,0
1783691031.007649,-39.995382,-14.998268249999999,113.23017126334545,40.0,1,0,0
1783691031.0580025,-37.988217399999996,-14.245581524999999,112.47748453834545,40.0,1,0,0
1783691031.1075227,-35.99652432,-13.49869662,111.73059963334546,40.0,1,0,0
1783691031.1576765,-33.995064479999996,-12.748149179999999,110.98005219334546,40.0,1,0,0
1783691031.2075639,-31.995987679999995,-11.998495379999998,110.23039839334545,40.0,1,0,0
1783691031.2574458,-29.997824399999995,-11.249184149999998,109.48108716334545,40.0,1,0,0
1783691031.307604,-27.994629639999996,-10.497986114999998,108.72988912834545,40.0,1,0,0
1783691031.357673,-25.994924239999996,-9.74809659,107.97999960334545,40.0,1,0,0
1783691031.4075463,-23.996146319999998,-8.99855487,107.23045788334545,40.0,1,0,0
1783691031.457796,-21.99316948,-8.247438554999999,106.47934156834546,40.0,1,0,0
1783691031.5074544,-19.99897608,-7.499616029999999,105.73151904334546,40.0,1,0,0
1783691031.557422,-17.99875104,-6.749531639999999,104.98143465334546,40.0,1,0,0
1783691031.607601,-15.995100919999999,-5.9981628449999995,104.23006585834545,40.0,1,0,0
1783691031.6580164,-13.987466959999999,-5.24530011,103.47720312334546,40.0,1,0,0
1783691031.7074575,-11.99811224,-4.49929209,102.73119510334546,40.0,1,0,0
1783691031.757656,-9.995311399999999,-3.7482417749999994,101.98014478834546,40.0,1,0,0
1783691031.8075678,-7.995329439999999,-2.9982485399999996,101.23015155334545,40.0,1,0,0
1783691031.8576,-5.9964844799999995,-2.24868168,100.48058469334545,40.0,1,0,0
1783691031.9076698,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,1,0,0
1783691031.9577174,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.0075707,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.0574872,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.1073945,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.1575203,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.2075295,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.2575397,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.3074627,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.3574839,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.4076807,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
1783691032.4576166,-3.994879359999999,-1.4980797599999998,78.64991386672727,40.0,0,0,0
